List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Business Description
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,10,5,2021 budget,1747583,Travel and Tourism,Baltimore Office of Promotion & The Arts,7 St. Paul,Baltimore,Maryland,21202,39.2994145,-76.6037222,2002,33,"# Employees, Full Time",2022,3/2/2022,4028453,Revenue,2021,3/2/2022,"The financial position of Baltimore Office of Promotion & The Arts, Inc. and Baltimore Festival of the Arts,
Inc. as of June 30, 2021 and 2020, and the changes in its net assets and cash flows for the years then ended
in accordance with accounting principles generally accepted in the United States of America."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,11,16,2021 budget,1740557,Travel and Tourism,Baltimore Museum of Industry,1415 Key Highway,Baltimore,Maryland,21230,39.2739568,-76.6016324,1981,15,"# Employees, Full Time",2022-Q3,4/14/2022,1777108,Revenue,2021,3/1/2022,"The Baltimore Museum of Industry celebrates Maryland’s industrial legacy and shows how innovation fuels ongoing progress. Our exhibitions, educational programs, and collections engage visitors in the stories of the people who built Baltimore and those who shape the region’s future."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,12,18,2021 budget,1417092.45,Travel and Tourism,Chesapeake Arts Center,194 Hammonds Lane,Brooklyn Park,Maryland,21225,39.2164046,-76.6185239,2001,7,"# Employees, Full Time",2022-Q3,3/25/2022,1417092.45,Revenue,2021,2/18/2022,"Chesapeake Arts Center, (CAC) is a 58,000 s.f. multi-discipline community art center focused on equitable access to the arts in our surrounding communities.  Our programs include arts education, performance, outreach, MakerSpace, gallery exhibits as well as offering venue space to many community partners in bringing their events to CAC by providing technical assistance in our 752 seat theater and black box theatre."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,13,13,2021 budget,1368000,Travel and Tourism,Creative Alliance,3134 Eastern Ave.,Baltimore,Maryland,21224,39.286442,-76.571762,1995,15,"# Employees, Full Time",2022,2/24/2022,3000000,Revenue,2021,2/24/2022,
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,13,13,2021 budget,1368000,Travel and Tourism,Creative Alliance,3134 Eastern Ave.,Baltimore,Maryland,21224,39.286442,-76.571762,1995,15,"# Employees, Full Time",2022,2/24/2022,3000000,Revenue,2021,2/24/2022,
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,13,13,2021 budget,1368000,Travel and Tourism,Creative Alliance,3134 Eastern Ave.,Baltimore,Maryland,21224,39.286442,-76.571762,1995,15,"# Employees, Full Time",2022,2/24/2022,3000000,Revenue,2021,2/24/2022,
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,14,21,2021 budget,1359444,Travel and Tourism,Wide Angle Youth Media,2601 N. Howard St.,Baltimore,Maryland,21218,39.3197673,-76.6195801,2000,13,"# Employees, Full Time",2022,2/23/2022,1359444,Revenue,2021,2/23/2022,"​Through media arts education, Wide Angle Youth Media cultivates and amplifies the voices of Baltimore youth to engage audiences across generational, cultural, and social divides. Their programs inspire creativity and instill confidence in young people, empowering them with skills to navigate school, career, and life."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,14,21,2021 budget,1359444,Travel and Tourism,Wide Angle Youth Media,2601 N. Howard St.,Baltimore,Maryland,21218,39.3197673,-76.6195801,2000,13,"# Employees, Full Time",2022,2/23/2022,1359444,Revenue,2021,2/23/2022,"​Through media arts education, Wide Angle Youth Media cultivates and amplifies the voices of Baltimore youth to engage audiences across generational, cultural, and social divides. Their programs inspire creativity and instill confidence in young people, empowering them with skills to navigate school, career, and life."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,15,14,2021 budget,930694,Travel and Tourism,Chesapeake Shakespeare Company,7 S. Calvert Street,Baltimore,Maryland,21202,39.2890773,-76.6121332,2002,14,"# Employees, Full Time",2022-Q3,4/5/2022,2383673,Revenue,2021,4/5/2022,"Chesapeake Shakespeare Company is the leading classical theatre company in Maryland, offering vibrant performances that blow the dust off of Shakespeare and delight its patrons. One of the six largest theatre companies in the state, CSC serves diverse audiences with funny, moving, rousing mainstage seasons, a vigorous education program that reaches over 16,000 students annually in both theatre and the classroom, and extensive community programming and partnerships."
Largest Arts Organizations in Greater Baltimore,3/4/2022 0:00,16,25,2021 budget,700000,Travel and Tourism,Columbia Festival of the Arts,10475 Little Patuxent Parkway,Columbia,Maryland,21044,39.2087707,-76.8627794,1987,2,"# Employees, Full Time",2022-Q3,4/25/2022,495000,Revenue,2019,3/9/2020,"The Columbia Festival of the Arts is a 501(c)(3) not-for-profit. Founded in 1987, the Festival’s popularity and growth has transformed it into one of the Baltimore/Washington Corridor’s premiere arts events. The Festival presents both free and ticketed events, featuring world-class performances, exhibitions, The Columbia Film Festival, The Columbia Arts Channel, concerts, family activities, master classes, workshops and community dialogues. Columbia Festival of the Arts brings together the arts community, businesses, local schools, and individuals to create events that shine a spotlight, not only on the arts, but on the Howard County community as a Maryland showplace.

The mission of the Columbia Festival of the Arts is to present a world class celebration of the arts and entertainment that attracts, engages and inspires the broad and diverse community it serves."
